Strefa (AB);Zakres (number);Operator (nazwa);Operator (ID);Strefa (nazwa);Strefa (symbol);Obszar numeracyjny;Data modyfikacji
32;324310;ST LINE Sp. z o.o. Sp. k.;12096;KATOWICE;SN-KA;CA£A SN;2018-01-01 12:15
32;32432(0,1-5);P4 Sp. z o.o. (d. 3S S.A.);4408;KATOWICE;SN-KA;CA£A SN;2016-06-03 12:15
32;32432(6-9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32433(0,1,2,9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32433(3,4);Telestrada S.A.;4078;KATOWICE;SN-KA;CA£A SN;2016-04-20 12:15
32;32433(5-8);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32436(0,6-9);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32436(1-5);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32437;Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32438;P4 Sp. z o.o. (d. 3S S.A.);4408;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32439(0,1-3,5,6,9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32439(4,7,8);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;3244(7,8);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32440(2,7-9);Leon Sp. z o.o.;1471;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32440(4,5);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2020-06-15 12:15
32;324400;G-NET Tomasz Serwatka, Wojciech Rakoniewski Sp. J.;5635;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324401;Softblue S.A.;12915;KATOWICE;SN-KA;CA£A SN;2021-01-15 12:15
32;324403;Multimedia Polska Sp. z o.o.;180;KATOWICE;SN-KA;CA£A SN;2021-09-08 12:15
32;324406;Elsat Sp. z o.o.;1044;KATOWICE;SN-KA;CA£A SN;2021-10-12 12:15
32;32441(2,8);LoVo Sp. z o.o. Spó³ka komandytowa;10664;KATOWICE;SN-KA;CA£A SN;2020-07-04 12:15
32;324410;MIRASOFT Sp. z o.o.;9298;KATOWICE;SN-KA;CA£A SN;2016-03-01 12:15
32;324411;Multimedia Polska Sp. z o.o.;180;KATOWICE;SN-KA;CA£A SN;2018-06-01 12:15
32;324413;Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2018-03-01 12:15
32;324414;Rybnet Sp. z o.o. Sp. K.;8598;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324415;Televoice Polska Sp. z o.o.;8808;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324416;OXYLION S.A.;9891;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324417;Aiton Caldwell S.A.;8085;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324419;E-CALL POLSKA Sp. z o.o.;9331;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32442(1,7);Multimedia Polska Sp. z o.o.;180;KATOWICE;SN-KA;CA£A SN;2021-09-08 12:15
32;32442(2-6);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2021-09-08 12:15
32;324420;Aiton Caldwell S.A.;8085;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324428;G-NET Tomasz Serwatka, Wojciech Rakoniewski Sp. J.;5635;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324429;ARPNET Wojciech Chodacki;7128;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32443;Vectra S.A.;5568;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32444(0,1,3,4);EXATEL S.A.;18;KATOWICE;SN-KA;;2015-11-13 12:15
32;324442;Œl¹ska Sieæ Metropolitalna Sp. z o.o.;8784;KATOWICE;SN-KA;;2016-08-26 12:15
32;324445;Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;;2024-01-15 12:45
32;324446;OXYLION S.A.;9891;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324447;Galena Sp. z o.o.;66;KATOWICE;SN-KA;CA£A SN;2022-04-16 12:15
32;324448;Vectra S.A.;5568;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324449;SYNTELL S.A.;10628;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32445(0,2-4,8);EXATEL S.A.;18;KATOWICE;SN-KA;CA£A SN;2019-06-29 12:15
32;32445(1,7);VOXNET Sp. z o.o. Sp. k.;728;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324455;K2M Sp. z o.o.;13135;KATOWICE;SN-KA;CA£A SN;2022-04-30 12:15
32;324456;Z4O  Sp. z o.o.;13000;KATOWICE;SN-KA;CA£A SN;2023-03-31 12:45
32;324459;Vectra S.A.;5568;KATOWICE;SN-KA;CA£A SN;2017-02-01 12:15
32;32446(0,9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32446(5,7);e-Telko Sp. z o.o.;11564;KATOWICE;SN-KA;CA£A SN;2022-02-19 12:15
32;324461;OXYLION S.A.;9891;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324462;ITEL Solutions Sp. z o.o.;11274;KATOWICE;SN-KA;CA£A SN;2019-01-01 12:15
